house_size_sqft,house_age_years,num_bathrooms,distance_to_center_miles,neighborhood_score,price_thousands
2205.0,2.7,1.5,3.0,6.2,332.69
1711.0,1.7,1.0,5.9,6.8,335.81
2343.0,15.2,1.0,0.7,6.2,299.32
3325.0,18.4,2.0,7.8,5.8,352.83
1646.0,0.5,3.0,3.0,7.6,392.15
1646.0,41.3,2.0,4.3,7.7,335.67
3401.0,0.8,2.0,9.3,4.7,384.39
2458.0,11.7,1.5,11.7,6.1,318.17
1498.0,18.5,3.5,8.0,8.1,348.31
2246.0,30.7,2.0,1.8,7.3,360.55
1502.0,18.8,1.0,7.7,5.9,258.31
1501.0,24.3,2.5,8.1,7.2,315.12
1992.0,6.2,1.0,7.0,5.8,280.9
841.0,25.3,2.0,13.0,5.6,193.29
907.0,1.3,2.0,5.3,8.9,283.44
1444.0,33.8,3.0,12.7,8.1,328.13
1206.0,11.9,2.0,12.6,8.4,271.39
2050.0,25.5,2.5,8.2,6.0,300.99
1257.0,9.0,4.0,6.2,7.3,374.24
1028.0,15.5,1.0,7.0,6.1,208.06
3250.0,11.2,1.5,14.9,6.6,366.29
1652.0,19.7,2.0,10.4,6.6,293.67
1858.0,1.3,2.0,2.0,7.8,369.41
1023.0,0.9,2.0,6.7,6.5,273.22
1454.0,4.3,3.5,2.4,5.8,361.11
1890.0,2.6,2.5,2.9,6.9,348.16
1141.0,30.8,2.5,3.7,6.7,272.65
2101.0,3.7,2.0,1.3,8.0,382.5
1422.0,50.0,3.0,2.2,6.0,277.14
1609.0,6.2,3.5,13.5,5.4,357.98
1421.0,3.0,3.0,2.9,6.8,335.81
3793.0,23.4,1.0,9.1,9.3,452.1
1798.0,16.1,2.5,5.7,6.1,331.58
1184.0,10.3,1.0,7.5,7.1,262.18
2512.0,12.2,1.5,7.7,5.9,324.01
1109.0,19.1,1.0,2.2,7.6,245.84
1966.0,3.9,2.5,9.1,8.5,396.78
826.0,50.0,2.5,1.6,8.7,282.53
1063.0,50.0,1.0,2.8,8.9,242.09
1956.0,15.8,2.0,7.6,8.1,327.91
2429.0,3.3,2.0,2.0,7.0,350.01
1936.0,17.1,2.0,0.6,6.7,331.5
1726.0,1.1,1.0,6.5,6.8,308.35
1603.0,0.5,2.0,1.1,7.5,372.28
1001.0,4.5,2.5,8.1,6.4,280.35
1356.0,9.3,1.0,3.9,8.4,309.32
1504.0,30.4,1.0,6.4,5.4,220.08
2760.0,19.5,2.0,6.3,5.1,347.41
2074.0,20.4,3.5,8.5,8.2,403.2
893.0,8.3,2.5,7.8,8.8,305.21
2058.0,6.4,2.5,2.0,7.3,351.31
1550.0,7.0,2.0,4.1,7.4,318.79
1379.0,50.0,2.0,6.4,3.4,176.64
2309.0,0.6,1.0,12.8,6.6,337.67
2731.0,30.3,2.5,7.8,6.9,381.57
2624.0,13.0,3.5,12.1,8.1,440.77
1292.0,8.7,2.5,6.7,8.4,307.05
1598.0,19.4,3.0,10.5,8.4,365.97
2064.0,10.0,2.5,6.0,7.5,361.16
2671.0,31.0,1.0,10.2,7.2,325.3
1493.0,34.6,3.5,3.8,5.3,321.3
1679.0,8.2,1.0,13.8,5.8,299.96
1161.0,4.9,2.0,7.2,6.1,282.52
1120.0,13.5,1.0,1.3,5.4,243.87
2502.0,36.5,1.0,6.6,8.2,349.98
3110.0,3.5,2.0,7.8,7.2,416.66
1757.0,14.6,1.5,9.3,4.6,214.62
2701.0,15.0,2.0,17.0,9.1,392.16
2089.0,19.8,2.0,3.3,8.6,354.65
1397.0,2.1,1.0,17.1,6.4,236.98
2089.0,18.9,1.0,5.0,7.6,299.53
3345.0,36.0,2.0,2.6,8.7,408.27
1782.0,3.0,2.0,3.3,7.7,348.49
3381.0,4.1,2.5,7.5,6.8,449.67
634.0,50.0,2.5,2.3,7.3,247.87
2512.0,3.0,3.0,3.8,6.1,411.38
1872.0,28.9,2.5,6.4,8.2,332.03
1604.0,10.2,2.0,13.8,7.7,279.58
1876.0,4.3,2.5,9.1,7.8,336.35
816.0,30.7,1.5,5.2,5.8,177.03
1656.0,8.8,2.0,7.5,7.2,297.93
2086.0,10.8,2.5,6.0,7.5,360.67
3265.0,6.7,2.0,1.7,7.5,418.2
1470.0,13.5,2.5,15.3,7.5,313.45
1308.0,2.7,3.0,13.9,7.8,340.87
1479.0,7.4,3.0,4.7,6.0,325.19
2608.0,50.0,3.5,3.4,6.3,420.34
2062.0,4.5,2.0,1.8,6.3,324.79
1463.0,16.0,2.0,7.8,7.0,291.68
2220.0,5.9,2.0,7.9,8.4,376.23
1880.0,22.3,2.0,2.5,6.2,300.08
2664.0,2.1,2.5,6.0,7.4,431.14
1365.0,50.0,2.5,8.9,6.3,280.49
1586.0,9.1,2.5,3.3,5.6,289.82
1546.0,4.0,2.0,4.3,7.2,315.42
1007.0,1.1,1.5,4.2,5.8,258.24
2035.0,2.8,2.0,2.6,7.0,352.23
2007.0,11.0,1.0,4.3,7.6,328.9
1812.0,6.2,3.0,1.1,5.7,358.99
1646.0,26.5,2.0,4.1,7.0,324.41
1026.0,8.5,1.5,4.1,8.9,257.37
1528.0,4.3,1.0,4.8,5.1,254.6
1576.0,14.4,2.5,7.1,6.7,295.34
1312.0,18.4,2.5,1.6,9.3,347.95
1695.0,2.7,2.0,2.0,7.6,321.66
2125.0,2.8,1.0,2.6,8.7,374.9
3845.0,0.6,2.0,1.5,8.4,502.54
1939.0,20.0,2.0,7.7,8.4,329.5
2004.0,16.4,2.5,3.1,7.6,337.27
1755.0,9.7,2.5,4.9,7.9,343.78
839.0,27.9,2.0,2.4,6.4,244.43
1789.0,24.6,1.5,3.7,6.8,290.73
1852.0,13.2,4.0,6.3,8.8,454.43
4843.0,30.4,2.0,6.5,8.9,549.62
1674.0,3.5,2.5,2.0,6.9,351.57
2040.0,1.8,1.0,4.7,7.7,337.06
1783.0,4.7,2.0,2.4,6.3,328.78
1133.0,0.9,1.0,4.6,7.8,277.94
2856.0,11.4,2.0,2.9,5.5,349.93
2442.0,41.4,3.5,16.0,6.0,354.33
2481.0,0.6,2.0,8.9,7.4,409.05
1257.0,2.0,1.0,6.7,6.7,263.03
3169.0,9.0,1.0,4.0,7.8,402.99
1032.0,40.7,2.0,9.0,6.9,220.08
2286.0,5.7,1.5,4.8,3.5,285.7
4342.0,10.6,1.0,14.9,8.6,460.92
1217.0,0.6,2.5,9.7,7.1,317.44
1442.0,2.4,2.0,3.7,6.8,324.15
1882.0,50.0,1.5,13.8,8.8,322.7
1478.0,50.0,3.5,4.0,8.3,362.77
972.0,0.1,1.0,16.6,8.8,257.73
1858.0,45.5,3.5,14.3,7.4,410.51
1182.0,15.3,2.0,6.2,6.3,282.01
2185.0,30.4,3.0,1.1,8.6,420.17
1252.0,9.1,2.5,5.9,7.4,292.82
3361.0,10.9,3.0,1.8,6.7,452.59
1322.0,10.1,4.0,3.0,9.1,410.64
1590.0,16.5,1.5,3.2,5.7,284.76
2503.0,2.3,3.5,1.8,6.3,446.89
1105.0,0.5,2.0,5.9,6.8,282.39
1980.0,5.5,2.0,2.7,8.3,360.63
3050.0,18.3,2.0,4.2,5.7,379.47
951.0,3.4,2.0,3.2,5.4,272.98
1947.0,16.8,1.5,7.1,7.5,337.09
2006.0,50.0,2.0,6.8,7.0,319.18
2472.0,1.5,2.0,3.9,5.6,356.3
1102.0,16.7,2.5,7.4,7.4,233.07
1066.0,8.8,3.0,11.4,5.5,281.22
2228.0,30.4,2.0,0.5,7.7,358.88
2036.0,2.9,2.0,3.1,5.8,335.1
1999.0,17.7,1.5,2.2,7.6,328.91
2077.0,27.3,1.5,2.8,8.1,314.47
1377.0,43.4,1.0,0.5,7.3,271.63
1984.0,17.2,2.0,0.5,8.9,381.82
2033.0,10.3,1.5,3.3,3.4,269.14
1359.0,14.4,3.5,3.2,8.5,390.83
3814.0,30.5,2.0,12.5,7.2,429.06
2185.0,12.7,2.0,5.6,8.0,353.23
1123.0,0.5,2.0,7.2,8.6,320.33
2351.0,40.1,1.0,25.0,6.8,294.56
1224.0,17.5,2.0,15.1,9.0,293.04
2477.0,16.9,2.5,4.8,5.8,365.84
2874.0,3.6,2.0,3.5,6.9,410.24
1302.0,16.1,2.0,3.1,5.2,283.48
2658.0,7.5,4.0,6.4,7.6,517.01
